word,clue
INNATE,"It’s natural being part of rowing crew, reportedly (6)"
CARRIAGE,Coach deportment (8)
HOUSEHOLD,Family from Nelson possibly joining audience (9)
TUNIC,Garment reflecting fashion seen across Northern Ireland (5)
CHRYSANTHEMUM,"Friend defends extremely raunchy southern song, making bloomer (13)"
RESPLENDENTLY,Lenders with plenty travelling in glorious style (13)
WIDEN,Increase extent of victory over gutless Dundee (5)
ENTANGLED,"Books penned by a legend, surprisingly becoming involved (9)"
UNSTABLE,American acquiring new piece of furniture that’s wobbly (8)
BROWNS,Toasts Ivy League university Head of Science (6)
SUSPENSE,Discover what sounds like small change in expectation (8)
FLORIN,Coin almost cast without gold (6)
PLIGHT,Cheerful under pressure in difficult situation (6)
RENOUNCES,Forsakes awkward encounters with no end of embarrassment (9)
OUTWEAR,Last longer than unfashionable sport (7)
ABANDONMENT,Bet Madonna is disturbed about production’s ultimate cancellation (11)
STRETCH,Extend term of imprisonment (7)
TRAIN,Exercise that may be taken daily on way to work? (5)
OVERCOME,"Best comedian, half-ignored, left previously (8)"
ORSONWELLES,"Writer on vacation enjoys entertaining child for director (5,6)"
MAYFLOWER,PM fine with second-class transportation to America once (9)
GROWN,Good incentive taken up to employ individual adults (5-3)
LINEAGE,Ancestry Neil concocted over period of time (7)
TENDRIL,"Number given brief training, it’s helpful to climber (7)"
EDISON,Absence of arrogance is over for inventor (6)
DOSES,Starts to dispute Oslo staging European superheavyweight bouts (5)
ASSISTANCE,Help a relative into position (10)
STOP,Plug vessels the wrong way (4)
CHINCHILLA,"Animal cold in Shanghai, say? (10)"
KNOW,Understand refusal to hear? (4)
ETON,"A flat, say, turned over in school (4)"
HUMDINGER,"Drone accompanying bell perhaps, amazing thing (9)"
NINETIES,"Abducted by alien in ET, I estimate for ten years (8)"
EDITOR,"Penning nothing, horribly tired journalist (6)"
PATENT,Evident father needs temporary accommodation (6)
INFERNAL,Hellish nan playing with rifle (8)
RECONDITE,"Difficult to get credit, one broke (9)"
TOWN,"Ultimately silent, private borough perhaps (4)"
GOON,"Silly person, proceed? (4)"
SACRECOEUR,"Racecourse built somewhere in Paris (5,5)"
NAFF,Cheesy nibbles as finger food for starters (4)
ADOLESCENT,"A benefit, after shave possibly for young person (10)"
ARCH,Rainbow possibly mysterious (4)
STILTON,Bird touching cheese (7)
SECOND,Best one puts on more weight? (6-2-4)
ALIGHTED,"Mischievous lad, eight, stepped down (8)"
COLUMN,Post topical piece in newspaper (6)
TONIGHT,Difficult carrying on later today (7)
POWERDRILL,"Boring thing might exercise (5,5)"
FIDDLESTICKS,Orchestral instrument remains — blow it! (12)
SNAPDRAGON,Plant photograph on domineering person (10)
INTEGRAL,"Tearing forms, fifty complete (8)"
TICKOFF,"Mark wrong in lecture (4,3)"
NOWHERE,"Lost, new hero impossible to find? (7)"
WIZARD,Fantastic magician (6)
TROT,"In short, beginning to reduce horse’s pace (4)"
FLAPPY,"Flustered following circuit of racetrack, possibly discontented (6)"
SPACEBAR,"One’s depressed to divide characters (5,3)"
RAISECAIN,"Reportedly, skates stick and cause trouble (5,4)"
AWNED,Sheltered in base with dawn breaking outside (5)
CUTBACK,"Prune around Aussie bush, but not the front (3,4)"
AMPOULE,Uncovered roux in large enough container (7)
THREE,Figure needing support to involve personnel department (5)
OBDURATE,Fixed ado with brute that’s stubborn (8)
